Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Skyfire","Shogun","Armada Weekly 2011 - 33 (This Week's New Single Releases)","journey","Playlist","NLF711100751","2PyXqwD49Q9Xnu3IsDPQPl"
"Testify - 2016 Remaster","Phil Collins","Testify (Deluxe Edition)","journey","Playlist","USRH11600024","4LNRM5kAfxwxUHfbFhndXx"
"Hold My Hand","Lady Gaga","Top Gun: Maverick (Music From The Motion Picture)","journey","Playlist","USUM72206231","1c2hJSwcCfoPEw1su83Sw0"
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version","Phil Collins","Disney Summer Songs","journey","Playlist","USWD10110146","1fTDYdx5zYfWJSX0JlKO8o"
"Jealous - Remix","Nick Jonas","Nick Jonas X2","journey","Playlist","USUM71416529","5NQJnRpJHRaupdegphntQT"
"Who Is Ready to Jump","Chuckie","Who Is Ready To Jump","journey","Playlist","GBHAD1100283","7hqX7t5WRmCqb2L7PDDUka"
"Wild for the Night (feat. Skrillex & Birdy Nam Nam)","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","journey","Playlist","USRC11201453","2rzBvHM9h36Tpdj7Jdajka"
"Best Song Ever","One Direction","Midnight Memories (Deluxe)","journey","Playlist","GBHMU1300102","5T7ZFtCcOgkpjxcuaeZbw0"
"Where The Streets Have No Name - Remastered","U2","The Joshua Tree (Super Deluxe)","journey","Playlist","GBUM70709791","4qgZs0RNjdzKAS22lP0QjY"
"With Or Without You","U2","The Joshua Tree (Super Deluxe)","journey","Playlist","GBUM70709792","6ADSaE87h8Y3lccZlBJdXH"
"Beauty And A Beat","Justin Bieber","Believe","journey","Playlist","USUM71205367","6QFCMUUq1T2Vf5sFUXcuQ7"
"Cinderella (feat. Ty Dolla $ign)","Mac Miller","The Divine Feminine","journey","Playlist","USWB11601437","2lpygKqzPFtItQ4ss3cgfb"
"One","U2","Achtung Baby (Deluxe Edition)","journey","Playlist","GBUM71106457","3G69vJMWsX6ZohTykad2AU"
"Paris","The Chainsmokers","Memories...Do Not Open","journey","Playlist","USQX91603031","72jbDTw1piOOj770jWNeaG"
